"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
8.088150090E-1	8.498062744E2	3.290437622E2	1.612875061E2	9.254480867E2
8.188150610E-1	8.498062744E2	3.288000183E2	1.612687531E2	9.253581830E2
8.288150090E-1	8.501250610E2	3.288562622E2	1.613625031E2	9.256872679E2
8.388150090E-1	8.502562866E2	3.289875183E2	1.612687531E2	9.258380803E2
8.488150610E-1	8.503500366E2	3.289500122E2	1.608937531E2	9.258456108E2
8.588150610E-1	8.505000610E2	3.289125061E2	1.605750122E2	9.259147504E2
8.688149050E-1	8.504437866E2	3.290437622E2	1.606687622E2	9.259259597E2
8.788150090E-1	8.505938110E2	3.290812683E2	1.607437592E2	9.260900975E2
8.888150090E-1	8.506500244E2	3.291000061E2	1.606125031E2	9.261256147E2
8.988149570E-1	8.509312744E2	3.294187622E2	1.605562592E2	9.264874889E2
9.088149570E-1	8.510437622E2	3.295500183E2	1.604437561E2	9.266179896E2
9.188149050E-1	8.509312744E2	3.295687561E2	1.604062500E2	9.265148481E2
9.288148530E-1	8.510437622E2	3.294000244E2	1.607062531E2	9.266101451E2
9.388149050E-1	8.510250244E2	3.295875244E2	1.610062561E2	9.267116827E2
9.488148530E-1	8.511750488E2	3.294937744E2	1.610625000E2	9.268258952E2
9.588149050E-1	8.512500610E2	3.290250244E2	1.611000061E2	9.267347760E2
9.688150090E-1	8.511937866E2	3.288750000E2	1.610812531E2	9.266265688E2
9.788149570E-1	8.510062866E2	3.287437744E2	1.612500000E2	9.264371169E2
9.888149570E-1	8.509688110E2	3.286875000E2	1.614937592E2	9.264251855E2
9.988150090E-1	8.509688110E2	3.284625244E2	1.614937592E2	9.263453900E2
1.008814905E0	8.509688110E2	3.285562744E2	1.614937592E2	9.263786359E2
1.018814957E0	8.511187744E2	3.285562744E2	1.614937592E2	9.265163937E2
1.028815009E0	8.511000366E2	3.287812500E2	1.613250122E2	9.265495897E2
1.038815009E0	8.509500122E2	3.291000061E2	1.612875061E2	9.265184277E2
1.048814957E0	8.509875488E2	3.291375122E2	1.613437500E2	9.265760173E2
1.058815009E0	8.510625610E2	3.292125244E2	1.611375122E2	9.266356711E2
1.068814800E0	8.508750610E2	3.290250244E2	1.608562622E2	9.263479763E2
1.078814905E0	8.509500122E2	3.289687500E2	1.609687500E2	9.264163752E2
1.088814957E0	8.508000488E2	3.290437622E2	1.606500092E2	9.262499371E2
1.098814748E0	8.507062988E2	3.290437622E2	1.604437561E2	9.261280706E2
1.108814957E0	8.510250244E2	3.288937683E2	1.605750122E2	9.263903268E2
1.118814853E0	8.512875366E2	3.288000183E2	1.608375092E2	9.266437430E2
1.128815842E0	8.513812866E2	3.288750000E2	1.608187561E2	9.267532213E2
1.138858186E0	8.511750488E2	3.288000183E2	1.611562500E2	9.265957871E2
1.148814800E0	8.514562988E2	3.288562622E2	1.613062592E2	9.269001992E2
1.158814853E0	8.516437988E2	3.290812683E2	1.613625031E2	9.271620671E2
1.168814905E0	8.515500488E2	3.291375122E2	1.615687561E2	9.271318410E2
1.178814853E0	8.514750366E2	3.290437622E2	1.616062622E2	9.270362018E2
1.188814853E0	8.511750488E2	3.289500122E2	1.616062622E2	9.267273916E2
1.198815009E0	8.508937988E2	3.288375244E2	1.613437500E2	9.263833872E2
1.208815009E0	8.508000488E2	3.287812500E2	1.614187622E2	9.262903704E2
