
4.708314400E-2	-6.811687622E2	-2.301750031E2	-2.897812500E2	7.752061581E2
5.708330100E-2	-6.815250244E2	-2.292937622E2	-2.897625122E2	7.752511217E2
6.708314400E-2	-6.821437988E2	-2.294812622E2	-2.901000061E2	7.759766914E2
7.708319700E-2	-6.825937500E2	-2.293875122E2	-2.900625000E2	7.763305431E2
8.708319700E-2	-6.826500244E2	-2.294812622E2	-2.898375244E2	7.763237057E2
9.708314400E-2	-6.826312866E2	-2.294625092E2	-2.897250061E2	7.762596832E2
1.070830920E-1	-6.825562744E2	-2.296875153E2	-2.898937683E2	7.763232699E2
1.170831440E-1	-6.824437866E2	-2.295937653E2	-2.898375244E2	7.761756306E2
1.270831440E-1	-6.827250366E2	-2.296312561E2	-2.899500122E2	7.764760131E2
1.370831970E-1	-6.827250366E2	-2.297625122E2	-2.898187561E2	7.764658389E2
1.470831970E-1	-6.825562744E2	-2.298187561E2	-2.898375244E2	7.763411099E2
1.572400720E-1	-6.825187988E2	-2.299500122E2	-2.897062683E2	7.762980360E2
1.670831440E-1	-6.824625244E2	-2.298562622E2	-2.898562622E2	7.762767878E2
1.770831440E-1	-6.824625244E2	-2.296125031E2	-2.897437744E2	7.761626464E2
1.870836130E-1	-6.826875000E2	-2.295187531E2	-2.895750122E2	7.762697781E2
1.970831970E-1	-6.827062988E2	-2.295375061E2	-2.896875000E2	7.763338231E2
2.070830920E-1	-6.825937500E2	-2.296125031E2	-2.895187683E2	7.761940777E2
2.170831440E-1	-6.826875000E2	-2.295000153E2	-2.894625244E2	7.762222830E2
2.270831440E-1	-6.826125488E2	-2.295187531E2	-2.892000122E2	7.760640417E2
2.370831440E-1	-6.823875122E2	-2.292562561E2	-2.892562561E2	7.758094672E2
2.470831440E-1	-6.822937622E2	-2.292562561E2	-2.892562561E2	7.757270078E2
2.570830920E-1	-6.823125000E2	-2.295937653E2	-2.894812622E2	7.759272169E2
2.670831440E-1	-6.820312500E2	-2.296687622E2	-2.895375061E2	7.757231038E2
2.770833010E-1	-6.822187500E2	-2.297625122E2	-2.892562561E2	7.758108124E2
2.870831440E-1	-6.822000122E2	-2.295562592E2	-2.891250000E2	7.756843420E2
2.970830400E-1	-6.819750366E2	-2.296312561E2	-2.892187500E2	7.755436478E2
3.070830920E-1	-6.820500488E2	-2.295562592E2	-2.893875122E2	7.756503577E2
3.170830920E-1	-6.820312500E2	-2.297437592E2	-2.895000000E2	7.757313136E2
3.270831440E-1	-6.822937622E2	-2.297812653E2	-2.893875122E2	7.759312728E2
3.370832490E-1	-6.822375488E2	-2.296125031E2	-2.893500061E2	7.758178914E2
3.470830920E-1	-6.824062500E2	-2.295187531E2	-2.891437683E2	7.758616286E2
